,paragraph,append,dialogue,speaker,addressee,subject,sentiment,chapter,syntactic,referringExpression
621,622,NO APPEND,"Keep steady, Kemp, for God s sake! I want help badly. Stop!",The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Implicit,
622,623,The hand gripped his arm. He struck at it.,NO QUOTE,,,,0,17,1.0,1.0
623,624, cried the Voice.  /newquote  and the grip tightened.,Kemp! /newquote Kemp! Keep steady!,The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Explicit,cried the Voice
624,625,"A frantic desire to free himself took possession of Kemp. The hand of the bandaged arm gripped his shoulder, and he was suddenly tripped and flung backwards upon the bed. He opened his mouth to shout, and the corner of the sheet was thrust between his teeth. The Invisible Man had him down grimly, but his arms were free and he struck and tried to kick savagely.",NO QUOTE,,,,0,17,1.0,1.0
625,626," said the Invisible Man, sticking to him in spite of a pounding in the ribs. ","Listen to reason, will you? /newquote By Heaven! you ll madden me in a minute!",The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Explicit,said the Invisible Man
626,627, bawled the Invisible Man in Kemp s ear.,"Lie still, you fool!",The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Explicit,bawled the Invisible Man in Kemp s ear
627,628,Kemp struggled for another moment and then lay still.,NO QUOTE,,,,0,17,1.0,1.0
628,629," said the Invisible Man, relieving his mouth.","If you shout, I ll smash your face,",The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Explicit,said the Invisible Man
629,630,NO APPEND,"I m an Invisible Man. It s no foolishness, and no magic. I really am an Invisible Man. And I want your help. I don t want to hurt you, but if you behave like a frantic rustic, I must. Don t you remember me, Kemp? Griffin, of University College?",The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Implicit,
630,631, said Kemp. ,"Let me get up, /newquote I ll stop where I am. And let me sit quiet for a minute.",Kemp,['The Invisible Man'],NO MONOLOGUE,0,17,Explicit,said Kemp
631,632,He sat up and felt his neck.,NO QUOTE,,,,0,17,1.0,1.0
632,633,NO APPEND,"I am Griffin, of University College, and I have made myself invisible. I am just an ordinary man a man you have known made invisible.",The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Implicit,
633,634, said Kemp.,Griffin?,Kemp,['The Invisible Man'],NO MONOLOGUE,0,17,Explicit,said Kemp
634,635," answered the Voice. A younger student than you were, almost an albino, six feet high, and broad, with a pink and white face and red eyes, who won the medal for chemistry.","Griffin,",The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Implicit,
635,636, said Kemp. ,"I am confused, /newquote My brain is rioting. What has this to do with Griffin?",Kemp,['The Invisible Man'],NO MONOLOGUE,0,17,Explicit,said Kemp
636,637,NO APPEND,I _am_ Griffin.,The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Implicit,
637,638,Kemp thought.  /newquote  he said. ,"It s horrible, /newquote But what devilry must happen to make a man invisible?",Kemp,['The Invisible Man'],NO MONOLOGUE,0,17,Anaphoric,he said
638,639,NO APPEND,"It s no devilry. It s a process, sane and intelligible enough ",The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Implicit,
639,640, said Kemp. ,It s horrible! /newquote How on earth ?,Kemp,['The Invisible Man'],NO MONOLOGUE,0,17,Explicit,said Kemp
640,641,NO APPEND,"It s horrible enough. But I m wounded and in pain, and tired ... Great God! Kemp, you are a man. Take it steady. Give me some food and drink, and let me sit down here.",The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Implicit,
641,642,"Kemp stared at the bandage as it moved across the room, then saw a basket chair dragged across the floor and come to rest near the bed. It creaked, and the seat was depressed the quarter of an inch or so. He rubbed his eyes and felt his neck again.  /newquote  he said, and laughed stupidly.","This beats ghosts,",Kemp,['The Invisible Man'],NO MONOLOGUE,0,17,Anaphoric,he said
642,643,NO APPEND,"That s better. Thank Heaven, you re getting sensible!",The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Implicit,
643,644," said Kemp, and knuckled his eyes.","Or silly,",Kemp,['The Invisible Man'],NO MONOLOGUE,0,17,Explicit,said Kemp
644,645,NO APPEND,Give me some whiskey. I m near dead.,The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Implicit,
645,646,NO APPEND,It didn t feel so. Where are you? If I get up shall I run into you? _There_! all right. Whiskey? Here. Where shall I give it to you?,Kemp,['The Invisible Man'],NO MONOLOGUE,0,17,Implicit,
646,647,The chair creaked and Kemp felt the glass drawn away from him. He let go by an effort; his instinct was all against it. It came to rest poised twenty inches above the front edge of the seat of the chair. He stared at it in infinite perplexity. ,This is this must be hypnotism. You have suggested you are invisible.,Kemp,['The Invisible Man'],NO MONOLOGUE,0,17,Implicit,
647,648, said the Voice.,"Nonsense,",The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Explicit,said the Voice
648,649,NO APPEND,It s frantic.,Kemp,['The Invisible Man'],NO MONOLOGUE,0,17,Implicit,
649,650,NO APPEND,Listen to me.,The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Implicit,
650,651," began Kemp, ","I demonstrated conclusively this morning, /newquote that invisibility ",Kemp,['The Invisible Man'],NO MONOLOGUE,0,17,Explicit,began Kemp
651,652," said the Voice, ","Never mind what you ve demonstrated! I m starving, /newquote and the night is chilly to a man without clothes.",The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Explicit,said the Voice
652,653, said Kemp.,Food?,Kemp,['The Invisible Man'],NO MONOLOGUE,0,17,Explicit,said Kemp
653,654,The tumbler of whiskey tilted itself.  /newquote  said the Invisible Man rapping it down. ,"Yes, /newquote Have you a dressing-gown?",The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Explicit,said the Invisible Man
654,655,"Kemp made some exclamation in an undertone. He walked to a wardrobe and produced a robe of dingy scarlet.  /newquote  he asked. It was taken from him. It hung limp for a moment in mid-air, fluttered weirdly, stood full and decorous buttoning itself, and sat down in his chair.  /newquote  said the Unseen, curtly. ","This do? /newquote Drawers, socks, slippers would be a comfort, /newquote And food.",The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Explicit,said the Unseen
655,656,NO APPEND,"Anything. But this is the insanest thing I ever was in, in my life!",Kemp,['The Invisible Man'],NO MONOLOGUE,0,17,Implicit,
656,657,"He turned out his drawers for the articles, and then went downstairs to ransack his larder. He came back with some cold cutlets and bread, pulled up a light table, and placed them before his guest.  /newquote  said his visitor, and a cutlet hung in mid-air, with a sound of gnawing.","Never mind knives,",The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Anaphoric,said his visitor
657,658," said Kemp, and sat down on a bedroom chair.",Invisible!,Mr. Thomas Marvel,['The Invisible Man'],NO MONOLOGUE,0,17,Explicit,said Mr Marvel
658,659," said the Invisible Man, with a full mouth, eating greedily. ","I always like to get something about me before I eat, /newquote Queer fancy!",The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Explicit,said the Invisible Man
659,660, said Kemp.,"I suppose that wrist is all right,",Kemp,['The Invisible Man'],NO MONOLOGUE,0,17,Explicit,said Kemp
660,661, said the Invisible Man.,"Trust me,",The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Explicit,said the Invisible Man
661,662,NO APPEND,Of all the strange and wonderful ,Kemp,['The Invisible Man'],NO MONOLOGUE,0,17,Implicit,
662,663,NO APPEND,"Exactly. But it s odd I should blunder into _your_ house to get my bandaging. My first stroke of luck! Anyhow I meant to sleep in this house to-night. You must stand that! It s a filthy nuisance, my blood showing, isn t it? Quite a clot over there. Gets visible as it coagulates, I see. It s only the living tissue I ve changed, and only for as long as I m alive.... I ve been in the house three hours.",The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Implicit,
663,664," began Kemp, in a tone of exasperation. ",But how s it done? /newquote Confound it! The whole business it s unreasonable from beginning to end.,Kemp,['The Invisible Man'],NO MONOLOGUE,0,17,Explicit,began Kemp
664,665, said the Invisible Man. ,"Quite reasonable, /newquote Perfectly reasonable.",The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Explicit,said the Invisible Man
665,666,"He reached over and secured the whiskey bottle. Kemp stared at the devouring dressing gown. A ray of candle-light penetrating a torn patch in the right shoulder, made a triangle of light under the left ribs.  /newquote  he asked. ",What were the shots? /newquote How did the shooting begin?,Kemp,['The Invisible Man'],NO MONOLOGUE,0,17,Anaphoric,he asked
666,667,NO APPEND,There was a real fool of a man a sort of confederate of mine curse him! who tried to steal my money. _Has_ done so.,The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Implicit,
667,668,NO APPEND,Is _he_ invisible too?,Kemp,['The Invisible Man'],NO MONOLOGUE,0,17,Implicit,
668,669,NO APPEND,No.,Mrs. Hall,['The Invisible Man'],NO MONOLOGUE,0,17,Anaphoric,she answered
669,670,NO APPEND,Well?,Mr. Teddy Henfrey,['Fearenside'],NO MONOLOGUE,0,17,Explicit,said Teddy Henfrey
670,671,NO APPEND,Can t I have some more to eat before I tell you all that? I m hungry in pain. And you want me to tell stories!,The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Implicit,
671,672,Kemp got up.  /newquote  he asked.,_You_ didn t do any shooting?,Kemp,['The Invisible Man'],NO MONOLOGUE,0,17,Anaphoric,he asked
672,673, said his visitor. ,"Not me, /newquote Some fool I d never seen fired at random. A lot of them got scared. They all got scared at me. Curse them! I say I want more to eat than this, Kemp.",The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Anaphoric,said his visitor
673,674, said Kemp. ,"I ll see what there is to eat downstairs, /newquote Not much, I m afraid.",Kemp,['The Invisible Man'],NO MONOLOGUE,0,17,Explicit,said Kemp
674,675,"After he had done eating, and he made a heavy meal, the Invisible Man demanded a cigar. He bit the end savagely before Kemp could find a knife, and cursed when the outer leaf loosened. It was strange to see him smoking; his mouth, and throat, pharynx and nares, became visible as a sort of whirling smoke cast.",NO QUOTE,,,,0,17,1.0,1.0
675,676," he said, and puffed vigorously. ","This blessed gift of smoking! /newquote I m lucky to have fallen upon you, Kemp. You must help me. Fancy tumbling on you just now! I m in a devilish scrape I ve been mad, I think. The things I have been through! But we will do things yet. Let me tell you ",The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Anaphoric,he said
676,677,"He helped himself to more whiskey and soda. Kemp got up, looked about him, and fetched a glass from his spare room. ",It s wild but I suppose I may drink.,Kemp,['The Invisible Man'],NO MONOLOGUE,0,17,Implicit,
677,678,NO APPEND,"You haven t changed much, Kemp, these dozen years. You fair men don t. Cool and methodical after the first collapse. I must tell you. We will work together!",The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Implicit,
678,679," said Kemp, ",But how was it all done? /newquote and how did you get like this?,Kemp,['The Invisible Man'],NO MONOLOGUE,0,17,Explicit,said Kemp
679,680,NO APPEND,"For God s sake, let me smoke in peace for a little while! And then I will begin to tell you.",The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Implicit,
680,681,"But the story was not told that night. The Invisible Man s wrist was growing painful; he was feverish, exhausted, and his mind came round to brood upon his chase down the hill and the struggle about the inn. He spoke in fragments of Marvel, he smoked faster, his voice grew angry. Kemp tried to gather what he could.",NO QUOTE,,,,0,17,1.0,1.0
681,682, said the Invisible Man many times over. ,"He was afraid of me, I could see that he was afraid of me, /newquote He meant to give me the slip he was always casting about! What a fool I was!",The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Explicit,said the Invisible Man
682,683,NO APPEND,The cur!,The Invisible Man,['Kemp'],NO MONOLOGUE,0,17,Implicit,
